timestamp_utc,vessel_id,latitude_deg,longitude_deg,sog_mps,cog_deg,heading_deg
2026-05-07T10:00:00Z,VESSEL-001,36.700000,-6.250000,6.20,62.0,63.0
2026-05-07T10:00:10Z,VESSEL-001,36.700261,-6.249387,6.20,62.0,63.0
2026-05-07T10:00:20Z,VESSEL-001,36.700523,-6.248773,6.20,62.0,63.0
2026-05-07T10:00:30Z,VESSEL-001,36.700784,-6.248160,6.20,62.0,63.0
2026-05-07T10:00:40Z,VESSEL-001,36.701046,-6.247547,6.20,62.0,63.0
2026-05-07T10:00:50Z,VESSEL-001,36.701307,-6.246933,6.20,62.0,63.0
2026-05-07T10:01:00Z,VESSEL-001,36.701569,-6.246320,6.20,62.0,63.0
2026-05-07T10:01:10Z,VESSEL-001,36.701830,-6.245707,6.20,62.0,63.0
2026-05-07T10:01:20Z,VESSEL-001,36.702092,-6.245093,6.20,62.0,63.0
2026-05-07T10:01:30Z,VESSEL-001,36.702353,-6.244480,6.20,62.0,63.0
2026-05-07T10:01:40Z,VESSEL-001,36.702615,-6.243867,6.20,62.0,63.0
2026-05-07T10:01:50Z,VESSEL-001,36.702876,-6.243253,6.20,62.0,63.0
2026-05-07T10:02:00Z,VESSEL-001,36.703138,-6.242640,6.20,62.0,63.0
2026-05-07T10:02:10Z,VESSEL-001,36.703399,-6.242027,6.20,62.0,63.0
2026-05-07T10:02:20Z,VESSEL-001,36.703661,-6.241413,6.20,62.0,63.0
2026-05-07T10:02:30Z,VESSEL-001,36.703922,-6.240800,6.20,62.0,63.0
2026-05-07T10:02:40Z,VESSEL-001,36.704184,-6.240187,6.20,62.0,63.0
2026-05-07T10:02:50Z,VESSEL-001,36.704445,-6.239573,6.20,62.0,63.0
2026-05-07T10:03:00Z,VESSEL-001,36.704707,-6.238960,6.20,62.0,63.0
2026-05-07T10:03:10Z,VESSEL-001,36.704968,-6.238347,6.20,62.0,63.0
2026-05-07T10:03:20Z,VESSEL-001,36.705229,-6.237733,6.20,62.0,63.0
2026-05-07T10:03:30Z,VESSEL-001,36.705491,-6.237120,6.20,62.0,63.0
2026-05-07T10:03:40Z,VESSEL-001,36.705752,-6.236507,6.20,62.0,63.0
2026-05-07T10:03:50Z,VESSEL-001,36.706014,-6.235893,6.20,62.0,63.0
2026-05-07T10:04:00Z,VESSEL-001,36.706275,-6.235280,6.20,62.0,63.0
2026-05-07T10:04:10Z,VESSEL-001,36.706537,-6.234667,6.20,62.0,63.0
2026-05-07T10:04:20Z,VESSEL-001,36.706798,-6.234053,6.20,62.0,63.0
2026-05-07T10:04:30Z,VESSEL-001,36.707060,-6.233440,6.20,62.0,63.0
2026-05-07T10:04:40Z,VESSEL-001,36.707321,-6.232827,6.20,62.0,63.0
2026-05-07T10:04:50Z,VESSEL-001,36.707583,-6.232213,6.20,62.0,63.0
2026-05-07T10:05:00Z,VESSEL-001,36.707844,-6.231600,6.20,62.0,63.0
