timestamp_utc,radar_id,track_id,vessel_id,range_m,bearing_deg,range_rate_mps,latitude_deg,longitude_deg,measurement_std_m
2026-05-07T10:00:05Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,1048.0,60.03,-3.22,36.700203,-6.249828,15.0
2026-05-07T10:00:15Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,1116.0,61.38,-3.16,36.700302,-6.249024,15.0
2026-05-07T10:00:25Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,1189.3,60.83,-3.10,36.700708,-6.248366,15.0
2026-05-07T10:00:35Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,1231.8,61.07,-3.04,36.700852,-6.247921,15.0
2026-05-07T10:00:45Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,1310.4,60.62,-2.98,36.701275,-6.247206,15.0
2026-05-07T10:00:55Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,1369.4,61.52,-3.22,36.701366,-6.246515,15.0
2026-05-07T10:01:05Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,1419.3,60.67,-3.16,36.701744,-6.246137,15.0
2026-05-07T10:01:15Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,1479.1,61.44,-3.10,36.701853,-6.245445,15.0
2026-05-07T10:01:25Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,1561.8,60.99,-3.04,36.702303,-6.244697,15.0
2026-05-07T10:01:35Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,1602.1,61.17,-2.98,36.702439,-6.244274,15.0
2026-05-07T10:01:45Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,1683.0,61.09,-3.22,36.702808,-6.243493,15.0
2026-05-07T10:01:55Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,1733.8,61.52,-3.16,36.702926,-6.242924,15.0
2026-05-07T10:02:05Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,1793.3,61.02,-3.10,36.703304,-6.242423,15.0
2026-05-07T10:02:15Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,1862.6,60.97,-3.04,36.703620,-6.241754,15.0
2026-05-07T10:02:25Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,1929.2,61.62,-2.98,36.703737,-6.240983,15.0
2026-05-07T10:02:35Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,1991.7,61.18,-3.22,36.704125,-6.240448,15.0
2026-05-07T10:02:45Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,2035.0,61.53,-3.16,36.704215,-6.239958,15.0
2026-05-07T10:02:55Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,2119.5,61.38,-3.10,36.704621,-6.239155,15.0
2026-05-07T10:03:05Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,2157.9,61.33,-3.04,36.704801,-6.238788,15.0
2026-05-07T10:03:15Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,2239.9,61.16,-2.98,36.705207,-6.238017,15.0
2026-05-07T10:03:25Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,2297.2,61.66,-3.22,36.705297,-6.237348,15.0
2026-05-07T10:03:35Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,2354.8,61.25,-3.16,36.705676,-6.236869,15.0
2026-05-07T10:03:45Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,2411.8,61.63,-3.10,36.705793,-6.236222,15.0
2026-05-07T10:03:55Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,2494.3,61.40,-3.04,36.706225,-6.235463,15.0
2026-05-07T10:04:05Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,2543.5,61.62,-2.98,36.706361,-6.234928,15.0
2026-05-07T10:04:15Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,2598.9,61.25,-3.22,36.706730,-6.234472,15.0
2026-05-07T10:04:25Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,2667.8,61.71,-3.16,36.706857,-6.233679,15.0
2026-05-07T10:04:35Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,2737.3,61.52,-3.10,36.707226,-6.233044,15.0
2026-05-07T10:04:45Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,2777.8,61.52,-3.04,36.707398,-6.232643,15.0
2026-05-07T10:04:55Z,RADAR-CADIZ-01,RDR-T001,VESSEL-001,2853.6,61.32,-2.98,36.707803,-6.231951,15.0
